Date,A/C Type,Location,Fatalities,Registration,detail.url,Flight Phase,Circumstances,Flight Type,Site,Probable cause
"Dec 27, 2016",Epic LT,"Spruce Creek, Florida",2,N669WR,http://www.baaa-acro.com/crash/crash-epic-lt-spruce-creek-2-killed,Landing (descent or approach),"The private pilot obtained a full weather briefing before departing on a long cross-country flight. The destination airport was forecast to be under visual meteorological conditions, but there was an AIRMET and Center Weather Advisory (CWA) issued for low instrument flight rules (IFR) conditions later that day. The briefer told the pilot to check the weather again en route to see if the AIRMET and CWA had been updated. At the time the pilot stopped for fuel, another CWA was issued for low IFR conditions at his destination airport; however, there were no records to indicate that the pilot obtained this information during the fuel stop or after departing on the last leg of the flight. A review of air traffic control communications revealed that, about 10 minutes before arriving at the airport, the pilot reported that he had obtained the current weather conditions at his destination airport. The most recent observation, about 1 hour before the accident indicated good visibility; however, the weather reporting equipment did not provide ceiling heights. It is unknown if the pilot obtained weather information from nearby airports, which were reporting low instrument meteorological conditions (visibility between 1/4 and 1/2 mile and ceilings 200-300 ft above ground level [agl]). Additionally, three pilot reports (PIREPs) describing the poor weather conditions were filed within the hour before the accident. The controller did not relay the PIREPs or the CWA information to the pilot, so the pilot was likely unaware of the deteriorating conditions. Based on radar information and statements from witnesses, the pilot's approach to the airport was unstabilized. He descended below the minimum descent altitude of 440 ft, and, after breaking through the fog about 100 ft agl, the airplane reentered the fog and completed a 360° right turn near the approach end of the runway, during which its altitude varied from 100 ft to 300 ft. The airplane then climbed to an altitude about 800 ft before radar contact was lost near the accident site. The airplane came to rest inverted, consistent with one witness's statement that it descended through the clouds in a spin before impact; post accident examination revealed no preimpact anomalies with the airplane or engine that would have precluded normal operation. Although the pilot was instrument rated, his recent instrument experience could not be established. The circumstances of the accident, including the restricted visibility conditions and the pilot's maneuvering of the airplane before the impact, are consistent with a spatial disorientation event. It is likely that the pilot experienced a loss of control due to spatial disorientation, which resulted in an aerodynamic stall and spin.",Private,City,"The pilot's loss of airplane control due to spatial disorientation, which resulted in the exceedance of the airplane's critical angle of attack and an aerodynamic stall/spin. Contributing to the accident was the pilot's failure to fly a stabilized approach consistent with the published instrument approach procedure."
"Dec 25, 2016",Tupolev TU-154,"Sochi-Adler, Krasnodar Krai",92,RA-85572,http://www.baaa-acro.com/crash/crash-tupolev-tu-154b-2-sochi-92-killed,Takeoff (climb),"The three engine aircraft left Sochi-Adler Airport by night on a special flight to the airbase of Hmeimim located southeast of Latakia, Syria. Two minutes after takeoff from runway 20, while in initial climb, the airplane went out of control, nosed down and crashed into the Black Sea, about 6 km offshore and sank by a depth of 50 to 70 meters. SAR operations were quickly conducted and few debris and bodies were found after sunrise. It was confirmed by the Russian government there were no survivors and that among the occupants were 64 members of the 'Alexandrov Band' from the Red Army Choir, nine journalists, Elizaveta Glinka of the Russian Council of Human Rights and two high ranking civil officers. They were on their way to Syria to take part to the New Year celebrations with the Russian military contingent based in Syria. A day after the accident, some debris were found at a depth of 27 meters. 3,500 people are taking part to the salvage operations. ",Military,"Lake, Sea, Ocean, River",
"Dec 21, 2016",Beechcraft 200 Super King Air,"Butterworth AFB (Penang), Penang",1,M41-03,http://www.baaa-acro.com/crash/crash-beechcraft-super-king-air-b200t-butterworth-afb-1-killed,Landing (descent or approach),"The crew was completing a training flight from Kuala Lumpur when on final approach to Butterworth Airbase, the twin engine aircraft went out of control and crashed in flames near the perimeter fence. The aircraft was partially destroyed by impact forces and a crew member was killed. Three other occupants were injured. Weather conditions were considered as good at the time of the accident. ",Training,Airport (less than 10 km from airport),
"Dec 20, 2016",Boeing 727-200,"Puerto Carreño, Vichada",5,HK-4544,http://www.baaa-acro.com/crash/crash-boeing-727-2j0f-puerto-carreno-5-killed,Takeoff (climb),"The three engine aircraft took off from runway 24 at Puerto Carreño-Germán Olano Airport but failed to get airborne in time, overran, hit two successive perimeter fences and completed the rotation too late. About three minutes later, while performing a turn to the right, maybe in an attempt to return to the airport for an emergency landing, the aircraft went out of control and crashed in flames in a field located about 5 km from the airport. At that time, and according to the video, the crew was apparently completing a fuel dumping procedure. Five crew members were killed while an engineer was seriously injured. The aircraft was destroyed. Runway 24 is 1,800 meters long. The takeoff was kept on a video that shows a too late rotation. It is also possible to see on the video that the engine number two suffered an apparent flame out at liftoff. ",Cargo,Airport (less than 10 km from airport),
"Dec 19, 2016",Ilyushin II-18,"Tiksi, Republic of Yakutia (Sakha)",0,RF-91821,http://www.baaa-acro.com/crash/crash-ilyushin-ii-18v-near-tiksi,Landing (descent or approach),"While approaching Tiksi, the crew encountered an unexpected situation and decided to attempt an emergency landing. The four engine aircraft belly landed in a snow covered field located about 30 km from Tiksi Airport, slid for several yards and came to rest, broken in three. All 39 occupants were evacuated, among them 19 were injured, three seriously. ",Military,Plain,
"Dec 18, 2016",Lockheed C-130 Hercules,"Wamena, Special Region of Papua",13,A-1334,http://www.baaa-acro.com/crash/crash-lockheed-c-130h-hercules-wamena-13-killed,Landing (descent or approach),"The four engine aircraft left Timika-Moses Kilangin Airport at 0535LT bound for Wamena. While approaching Wamena, the crew encountered marginal weather conditions and the aircraft descended through several cloud layers when it crashed in a hilly terrain about four minutes before ETA at 0613LT. The aircraft was destroyed by impact forces and a post crash fire and all 13 occupants were killed. ",Military,Mountains,
"Dec 13, 2016",Cessna (DMI) Falcon 402,"Lanseria, Gauteng",0,ZU-TVB,http://www.baaa-acro.com/crash/crash-cessna-dmi-falcon-402-lanseria,Landing (descent or approach),"Shortly after takeoff from Lanseria bound for Bazaruto Island, Mozambique, the pilot informed ground that the engine failed and elected to return for an immediate landing. On final, the aircraft hit a perimeter fence and crashed in flames near the runway threshold. All three occupants were injured and the aircraft was destroyed by a post crash fire. Built in 1975, this Cessna 402B was equipped with a new turbo engine and redesigned as a single engine Cessna (DMI) Falcon 402 (the C402 is usually a twin engine aircraft).",Private,Airport (less than 10 km from airport),
"Dec 12, 2016",PAC 750XL - Pacific Aerospace Corporation,"Tiniroto, Gisborne District Council",2,ZK-XLA,http://www.baaa-acro.com/crash/crash-pacific-aerospace-falcon-3000xl-near-tiniroto-2-killed,Flight,"While flying at low height northwest of Tiniroto, the single engine airplane hit power cables and crashed in a wooded area. Both occupants were killed. Power between Wairoa and Gisborne was cut. The aircraft was a PAC750XL model built in 2003, modified in 2011 and renamed Pacific Aerospace Falcon 3000XL.",Spraying (Agricultural),Mountains,
"Dec 12, 2016",Quest Kodiak 100,"Moab, Utah",1,N772RT,http://www.baaa-acro.com/crash/crash-quest-kodiak-100-near-moab-1-killed,Takeoff (climb),"The commercial pilot was departing on a routine positioning flight in dark night visual meteorological conditions. Footage from a security camera at the airport showed the airplane
take off normally and initiate a right turn, which was the established direction of traffic for the takeoff runway. The airplane continued the right turn, then entered an increasingly rapid descent and subsequently impacted terrain about 1 mile southwest from the airport. The wreckage distribution was consistent with a high-energy impact. Examination of the airframe and engine revealed no evidence of any preimpact mechanical malfunctions or anomalies that would have precluded normal operation. Autopsy and toxicology testing of the pilot did not reveal any evidence of impairment or incapacitation. Visual conditions prevailed in the area at the time of the accident; however, the setting Moon was obscured by cloud cover, and the airport was located in an area of remote, sparsely-populated high desert terrain. This would have resulted in few visual references to which the pilot could have oriented the airplane. Although the pilot had experience operating in this environment in night conditions and held an instrument rating, the circumstances of the accident are consistent with the known effects of spatial disorientation. The investigation could not determine the initiating event which led to the pilot's mismatch between the airplane's perceived and actual attitude; however, he likely experienced a sensory illusion as a result of spatial disorientation, which led to a loss of control. ",Cargo,Airport (less than 10 km from airport),The pilot's loss of control shortly after takeoff due to spatial disorientation.
"Dec 7, 2016",ATR42-500,"Havelian, Khyber Pakhtunkhwa (خیبرپختونخوا)",47,AP-BHO,http://www.baaa-acro.com/crash/crash-atr42-500-near-havelian-47-killed,Flight,"The aircraft left Chitral at 1530LT bound for Islamabad-Benazir Bhutto Airport, carrying 42 passengers and a crew of five. At 1614LT, while cruising south of Abbottabad, the left engine failed and the pilots were forced to shut it down and to feather the propeller. Shortly later, the crew declared an emergency when the aircraft went out of control and crashed near Havelian. The aircraft disintegrated while impacting a mountain slope and all 47 occupants were killed. ",Scheduled Revenue Flight,Mountains,
"Dec 5, 2016",Swearingen SA227 Metro III,"Pebble City, Georgia",1,N765FA,http://www.baaa-acro.com/crash/crash-swearingen-sa227ac-metro-iii-near-pebble-city-1-killed,Flight,"The airline transport pilot delayed his scheduled departure for the night cargo flight due to thunderstorms along the route. Before departing, the pilot explained to the flight follower assigned to the flight that if he could not get though the thunderstorms along the planned route, he would divert to the alternate airport. While en route, the pilot was advised by the air traffic controller in contact with the flight of a ""ragged line of moderate, heavy, and extreme"" precipitation along his planned route. The controller also stated that he did not see any breaks in the weather. The controller cleared the pilot to descend at his discretion from 7,000 ft mean sea level (msl) to 3,000 ft msl, and subsequently, the controller suggested a diversion to the northeast for about 70 nautical miles that would avoid the most severe weather. The pilot responded that he had enough fuel for such a diversion but concluded that he would ""see what the radar is painting"" after descending to 3,000 ft msl. About 1 minute 30 seconds later, as the airplane was descending through 7,000 ft msl, the controller stated, ""I just lost you on radar, I don't show a transponder, it might have to do with the weather."" About 40 seconds later, the pilot advised the controller that he intended to deviate to the right of course, and the controller told the pilot that he could turn left and right as needed. Shortly thereafter, the pilot stated that he was going to turn around and proceed to his alternate airport. The controller cleared the pilot direct to his alternate and instructed him to maintain 3,000 ft msl. The pilot acknowledged the instruction, and the controller then stated, ""do you want to climb back up? I can offer you any altitude."" The pilot responded that he would try to climb back to 3,000 ft msl. The controller then recommended a heading of 180° to ""get you clear of the weather quicker,"" and the pilot responded, ""alright 180."" There were no further communications from the pilot. Shortly thereafter, radar data showed the airplane enter a right turn that continued through about 540°. During the turn its airspeed varied between 198 and 130 knots, while its estimated bank angles were between 40 and 50°. Examination of the wreckage indicated that airplane experienced an in-flight breakup at relatively low altitude, consistent with radar data that showed the airplane's last recorded altitudes to be around 3,500 ft msl. The symmetrical nature of the breakup, damage to the outboard wings, and damage to the upper fuselage were all signatures indicative that the left and right wings failed in positive overload almost simultaneously. All of the fracture surfaces examined had a dull, grainy appearance consistent with overstress separation. There was no evidence of pre-existing cracking noted at any of the separation points, nor was there evidence of any mechanical anomalies that would have prevented normal operation. Review of base reflectivity weather radar data showed that, while the pilot was maneuvering to divert to the alternate airport, the airplane was operating in an area of light precipitation that rapidly intensified to heavy precipitation, as shown by radar scans completed shortly after the accident. During this time, the flight was likely operating in clouds along the leading edge of the convective line, where the pilot most likely would have encountered updrafts and severe or greater turbulence. The low visibility conditions that existed during the flight, which was conducted at night and in instrument meteorological conditions, coupled with the turbulence the flight likely encountered, were conducive to the development of spatial disorientation. Additionally, the airplane's maneuvering during the final moments of the flight was consistent with a loss of control due to spatial disorientation. The pilot's continued flight into known convective weather conditions and his delayed decision to divert the flight directly contributed to the accident. Although the operator had a system safety-based program, the responsibility for the safe outcome of the flight was left solely to the pilot. Written company policy required completion of a flight risk assessment tool (FRAT) before each flight by the assigned flight follower; however, a FRAT was not completed for the accident flight. The flight followers responsible for completing the FRATs were not trained to complete them for night cargo flights, and the operator's management was not aware that the FRATs were not being completed for night cargo flights. Further, if a FRAT had been completed for the accident flight, the resultant score would have allowed the flight to commence into known hazardous weather conditions without any further review. If greater oversight had been provided by the operator, it is possible that the flight may have been cancelled or re-routed due to the severity of the convective weather conditions present along the planned route of flight.",Cargo,Plain,"The pilot's decision to initiate and continue the flight into known adverse weather conditions, which resulted spatial disorientation, a loss of airplane control, and a subsequent in-flight breakup."
"Dec 4, 2016",Beechcraft 90 King Air,"Sotillo de las Palomas, Castile-La Mancha",4,N79CT,http://www.baaa-acro.com/crash/crash-beechcraft-king-air-e90-sotillo-de-las-palomas-4-killed,Flight,"The twin engine aircraft left Madrid-Cuatro Vientos Airport at 1602LT bound for Cascais, Portugal. Less than 15 minutes later, while climbing, its speed dropped from 182 to 134 knots. At an altitude of 18,400 feet, the aircraft went into a dive and crashed three minutes later in a wooded area located in Sotillo de las Palomas, province of Toledo. All four occupants, two adults and two children, were killed. The airplane, built in 1978, disintegrated on impact. ",Private,Plain,
"Dec 3, 2016",PZL-Mielec AN-28,"Tanjung Pinang, Riau Islands",13,P-4201,http://www.baaa-acro.com/crash/crash-pzl-mielec-m28-skytruck-tanjungpinang-13-killed,Flight,"The twin engine aircraft left Pangkal Pinang Airport at 0924LT bound for Hang Nadim Airport on the Batam Island. En route, the aircraft disappeared from radar screens and crashed into the sea about 74 km southeast of Tanjunpinang, in the Riau Islands. An hour later, around 1130LT, few debris and body parts were found by fishermen on the waters off Pulau Senayang. All 13 occupants have been killed. ",Government,"Lake, Sea, Ocean, River",
"Nov 29, 2016",Piper PA-31-350 Navajo Chieftain,"El Sacrificio, Campeche",0,N633D,http://www.baaa-acro.com/crash/crash-piper-pa-31-350-navajo-chieftain-el-sacrificio,Landing (descent or approach),"The airplane was involved in a smuggling flight within Mexico and was carrying three people. In unclear circumstances, the pilot completed a belly landed in a swampy area located in El Sacrificio, Campeche. The airplane was found by authorities damaged beyond repair while no trace of the occupant was found. The registration N633D is attributed to a Piper PA-31 with MSN 31-7852098 which was not involved in this accident. Thus, it was confirmed by Mexican and US Authorities that the registration was false. ",Illegal (smuggling),Plain,
"Nov 28, 2016",Avro RJ85,"La Ceja, Antioquia",71,CP-2933,http://www.baaa-acro.com/crash/crash-avro-rj85-la-ceja-71-killed,Landing (descent or approach),"The aircraft was performing a charter flight from Santa Cruz-Viru Viru to Medellín-José María Córdova (Rionegro) Airport, carrying members of the Chapecoense Real soccer team from Brazil who were traveling to Medellín to play against Atletico Nacional for a Copa Sudamericana game. The descent to Medellín was started by night and in good weather conditions when it seems that the encountered electrical problem. At 2156LT, while descending to FL155, the four engine aircraft  hit tree tops and crashed in a wooded area located on the slope of a mountain located in the Cerro Gordo, near the city of La Ceja, about 17 km south from runway 01 threshold. The aircraft was totally destroyed upon impact but there was no fire. Six (two crew member and four passengers) were injured and evacuated while 71 other occupants were killed. According to first investigations, the crew encountered electrical problems and the aircraft may have suffered a fuel exhaustion. Due to the combination of several factors and findings that were detected during initial investigations, it was determined that the primary cause of the accident may have been a fuel exhaustion. The board of investigation was then in a process to determine the exact circumstances of the occurrence and to understand the course of events and the exact behavior and flight supervision (instruments, fuel jauges, flight preparation, operations, permission, ground assistance) on part of the flight crew and the operator. On December 2, the Civil Aviation Authority of Bolivia revoked with immediate effect the Air Operator Certificate of LAMIA. All flights have been suspended since. ",Charter (Non Scheduled Revenue Flight),Mountains,"It was determined that the accident was the consequence of an inappropriate planning and execution of the flight, since the amount of fuel required to fly from the airport of destination to an alternate airport was not considered, nor was the amount of reserve fuel, nor the contingency fuel, nor the minimum landing fuel, quantities of fuel required by aeronautical regulations for the execution of the type of international flight that the aircraft CP-2339 was performing. The following factors were considered as contributing: 
- Loss of situational awareness,
– Premature configuration of the aircraft for landing, 
– Latent deficiencies,
– Lack of operational supervision and control of part of Operator,
– Organizational and operational deviation on the part of the Operator (non compliant to standard procedures)."
"Nov 27, 2016",Casa 212 Aviocar,"Pitu (Morotai Island), North Maluku",0,U-623,http://www.baaa-acro.com/crash/crash-casa-nc-212-mp-aviocar-200-pitu,Landing (descent or approach),"Upon landing at Pitu-Leo Wattimena Airport, the twin engine aircraft went out of control and veered off runway to the right. The left main landing gear was sheared off and the right wing broke at the root. All 14 occupants escaped uninjured while the aircraft was damaged beyond repair. ",Military,Airport (less than 10 km from airport),
"Nov 24, 2016",Piper PA-31-310 Navajo,"Zielona Góra-Przylep, Lubusz Voivodeship (Lubuskie)",1,D-IFBU,http://www.baaa-acro.com/crash/crash-piper-pa-31-310-navajo-c-zielona-gora-1-killed,Takeoff (climb),"Just after liftoff, while in initial climb, the aircraft nosed down and hit the grassy runway surface. Upon impact, the nose was destroyed and both engines were sheared off. The aircraft came to rest on its belly and was partially destroyed. The pilot, who was performing a positioning flight to Germany to pick up passengers, was killed. ",Positioning,Airport (less than 10 km from airport),
"Nov 23, 2016",Beechcraft 200 Super King Air,"Moorhead, Minnesota",0,N80RT,http://www.baaa-acro.com/crash/crash-beechcraft-200-super-king-air-moorhead,Landing (descent or approach),"The commercial pilot was conducting an on-demand passenger flight at night in instrument meteorological conditions that were at/near straight-in approach minimums for the runway. The pilot flew the approach as a non precision LNAV approach, and he reported that the approach was stabilized and that he did not notice anything unusual. A few seconds after leveling the airplane at the missed approach altitude, he saw the runway end lights, the strobe lights, and the precision approach path indicator. He then disconnected the autopilot and took his hand off the throttles to turn on the landing lights. However, before he could turn on the landing lights, the runway became obscured by clouds. The pilot immediately decided to conduct a missed approach and applied engine power, but the airplane subsequently impacted terrain short of the runway in a nose-up level attitude. The pilot reported that there were no mechanical anomalies with the airplane that would have precluded normal operation. It is likely the pilot lost sight of the runway due to the visibility being at/near the straight-in approach minimums and that the airplane got too low for a missed approach, which resulted in controlled flight into terrain. A passenger stated that he and the pilot were not wearing available shoulder harnesses. The passenger said that he was not informed that the airplane was equipped with shoulder harnesses or told how to adjust the seats. The pilot sustained injuries to his face in the accident.",Charter (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"The pilot's failure to attain a positive climb rate during an attempted missed approach in night instrument meteorological conditions that were at/near approach minimums, which resulted in controlled flight into terrain."
"Nov 18, 2016",Piper PA-31 Cheyenne,"Elko, Nevada",4,N779MF,http://www.baaa-acro.com/crash/crash-piper-pa-31t-cheyenne-elko-4-killed,Takeoff (climb),"The airline transport pilot departed in the twin-engine, turbine-powered airplane on an air ambulance flight with two medical crew members and a patient on board in night visual meteorological conditions. According to a witness, during the initial climb, the airplane made a left turn of about 30° from the runway heading, then stopped climbing, made an abrupt left bank, and began to descend. The airplane impacted a parking lot and erupted into flames. In the 2 months before the accident, pilots had notified maintenance personnel three times that the left engine was not producing the same power as the right engine. In response, mechanics had replaced the left engine's bleed valve three times with the final replacement taking place three days before the accident. In addition, about 1 month before the accident, the left engine's fuel control unit was replaced during trouble shooting of an oil leak. Post accident examination revealed that the right engine and propeller displayed more pronounced rotational signatures than the left engine and propeller. This is consistent with the left engine not producing power or being at a low power setting at impact. Further, the abrupt left bank and descent observed by the witness are consistent with a loss of left engine power during initial climb. The extensive fire and impact damage to the airplane precluded determination of the reason for the loss of left engine power.",Ambulance,Airport (less than 10 km from airport),A loss of engine power to the left engine for reasons that could not be determined due to the extensive fire and impact damage to the airplane.
"Oct 31, 2016",De Havilland DHC-4 Caribou,"Ilaga, Special Region of West Papua",4,PK-SWW,http://www.baaa-acro.com/crash/crash-de-havilland-dhc-4t-caribou-near-ilaga-4-killed,Flight,"The twin turbo Caribou left Timika at 0757LT on a cargo flight to Ilaga, carrying four crew members and a load of construction materials. While approaching the Ilaga Pass and flying at an altitude of about 3,650 meters, the aircraft hit the slope of a mountain and disintegrated on impact. The wreckage was found a day later about 12 km south of the intended destination. All four occupants have been killed. ",Cargo,Mountains,
"Oct 28, 2016",Boeing 767-300,"Chicago-O'Hare, Illinois",0,N345AN,http://www.baaa-acro.com/crash/crash-boeing-767-323er-chicago,Takeoff (climb),"On October 28, 2016, about 1432 central daylight time, American Airlines flight 383, a Boeing 767-323, N345AN, had started its takeoff ground roll at Chicago O’Hare International Airport, Chicago, Illinois, when an uncontained engine failure in the right engine and subsequent fire occurred. The flight crew aborted the takeoff and stopped the airplane on the runway, and the flight attendants initiated an emergency evacuation. Of the 2 flight crewmembers, 7 flight attendants, and 161 passengers on board, 1 passenger received a serious injury and 1 flight attendant and 19 passengers received minor injuries during the evacuation. The airplane was substantially damaged from the fire. The airplane was operating under the provisions of 14 Code of Federal Regulations Part 121. Visual meteorological conditions prevailed at the time of the accident. The uncontained engine failure resulted from a high-pressure turbine (HPT) stage 2 disk rupture. The HPT stage 2 disk initially separated into two fragments. One fragment penetrated through the inboard section of the right wing, severed the main engine fuel feed line, breached the fuel tank, traveled up and over the fuselage, and landed about 2,935 ft away. The other fragment exited outboard of the right engine, impacting the runway and fracturing into three pieces. Examination of the fracture surfaces in the forward bore region of the HPT stage 2 disk revealed the presence of dark gray subsurface material discontinuities with multiple cracks initiating along the edges of the discontinuities. The multiple cracks exhibited characteristics that were consistent with low-cycle fatigue. (In airplane engines, low-cycle fatigue cracks grow in single distinct increments during each flight.) Examination of the material also revealed a discrete region underneath the largest discontinuity that appeared white compared with the surrounding material. Interspersed within this region were stringers (microscopic-sized oxide particles) referred to collectively as a “discrete dirty white spot.” The National Transportation Safety Board’s (NTSB) investigation found that the discrete dirty white spot was most likely not detectable during production inspections and subsequent in-service inspections using the procedures in place. The NTSB’s investigation also found that the evacuation of the airplane occurred initially with one engine still operating. In accordance with company procedures and training, the flight crew performed memory items on the engine fire checklist, one of which instructed the crew to shut down the engine on the affected side (in this case, the right side). The captain did not perform the remaining steps of the engine fire checklist (which applied only to airplanes that were in flight) and instead called for the evacuation checklist. The left engine was shut down as part of that checklist. However, the flight attendants had already initiated the evacuation, in accordance with their authority to do so in a life-threatening situation, due to the severity of the fire on the right side of the airplane. ",Scheduled Revenue Flight,Airport (less than 10 km from airport),"The National Transportation Safety Board determines that the probable cause of this accident was the failure of the high-pressure turbine (HPT) stage 2 disk, which severed the main engine fuel feed line and breached the right main wing fuel tank, releasing fuel that resulted in a fire on the right side of the airplane during the takeoff roll. The HPT stage 2 disk failed because of low-cycle fatigue cracks that initiated from an internal subsurface manufacturing anomaly that was most likely not detectable during production inspections and subsequent in-service inspections using the procedures in place. Contributing to the serious passenger injury was (1) the delay in shutting down the left engine and (2) a flight attendant’s deviation from company procedures, which resulted in passengers evacuating from the left overwing exit while the left engine was still operating. Contributing to the delay in shutting down the left engine was (1) the lack of a separate checklist procedure for Boeing 767 airplanes that specifically addressed engine fires on the ground and (2) the lack of communication between the flight and cabin crews after the airplane came to a stop."
"Oct 28, 2016",Douglas DC-10,"Fort Lauderdale-Hollywood, Florida",0,N370FE,http://www.baaa-acro.com/crash/crash-douglas-dc-10-10-fort-lauderdale,Landing (descent or approach),"On October 28, 2016, about 1751 eastern daylight time, FedEx Express (FedEx) flight 910, a McDonnell Douglas MD-10-10F, N370FE, experienced a left main landing gear (MLG) collapse after landing on runway 10L at Fort Lauderdale–Hollywood International Airport (KFLL), Fort Lauderdale, Florida, and the left wing subsequently caught fire. The airplane came to rest off the left side of the runway. The two flight crew members evacuated the airplane. The captain reported a minor cut and abrasions from the evacuation, and the first officer was not injured. The airplane sustained substantial damage. The cargo flight was operating on an instrument flight plan under the provisions of Title 14 Code of Federal Regulation (CFR) Part 121 and originated at Memphis International Airport (KMEM), Memphis, Tennessee. The first officer was the pilot flying, and the captain was the pilot monitoring. Both flight crew members stated in post accident interviews that the departure from MEM and the en route portion of the flight were normal. About 1745, air traffic control (ATC) cleared the flight for final approach to the instrument landing system (ILS) approach to runway 10L at KFLL. Recorder data indicate that the first officer set the flaps at 35º about 1746 when the airplane was 3,000 ft above ground level (agl). The first officer disconnected the autopilot about 1749 when the airplane was 1,000 ft agl. Both flight crew members reported that the approach was stable at 500 ft agl. At 200 ft agl, the first officer began making airspeed corrections to compensate for the crosswind. About 1750, the first officer disconnected the autothrottles, as briefed, when the airplane was at 100 ft agl. At 50 ft agl, the first officer initiated the flare. The left MLG touched down about 1750:31 in the touchdown zone and left of the runway centerline. The first officer deployed the spoilers at 1750:34, and the nose gear touched down 3 seconds later. The thrust reversers were  deployed at 1750:40. According to cockpit voice recorder (CVR) data, the captain instructed the first officer to begin braking about 1750:39 (the airplane was not equipped with autobrakes). FDR data indicate an increase in brake pedal position angle and increase in longitudinal deceleration (indicating braking) about 1750:41. In post accident interviews, the flight crew members reported hearing a ""bang"" as the first officer applied the brakes, and the airplane yawed to the left. About this time, the CVR recorded the sound of multiple thuds, consistent with the sound of a gear collapse. About 1750:48, the captain stated, ""I have the airplane,"" and the first officer replied, ""you got the airplane."" The captain applied full right rudder without effect while the first officer continued braking. About 1750:53, the captain instructed the first officer to call and inform the tower about the emergency. An airport video of the landing showed that the No. 1 engine was initially supporting the airplane after the left MLG collapse when a fire began near the left-wing tip. The airplane eventually stopped off the left side of runway 10L, about 30º to 40º off the runway heading. About 1751, the flight crew began executing the evacuation checklist. The pilots reported that, as they were about to evacuate, they heard an explosion. The airport video showed a fireball erupted at the No. 1 engine. The captain attempted to discharge a fire bottle in the No. 1 engine, but it didn't discharge. They evacuated the airplane through the right cockpit window.",Cargo,Airport (less than 10 km from airport),"The failure of the left main landing gear (MLG) due to fatigue cracking that initiated at a corrosion pit. The pit formed in the absence of a required protective cadmium coating the
cause of which could not be determined from available evidence. Contributing to the failure of the left MLG was the operator's overhaul limit, which exceeded that recommended by the airplane manufacturer without sufficient data and analysis to ensure crack detection before it progressed to failure."
"Oct 24, 2016",Swearingen SA227 Metro III,"Luqa, All Malta",5,N577MX,http://www.baaa-acro.com/crash/crash-swearingen-sa227at-expediter-luqa-5-killed,Takeoff (climb),"The aircraft was involved in a maritime patrol flight over the Mediterranean Sea, carrying a crew of two and three members of the French Ministry of Defense. Shortly after takeoff from runway 13, while in initial climb, the twin engine aircraft banked to the right, hit a perimeter fence and crashed in a huge explosion on the Triq Carmelo Caruana Street. The aircraft was destroyed by impact forces and a post crash fire. All five occupants were killed. It was previously reported that the flight was performed on behalf of the EU Frontex Program but this was later denied by the Border Agency. The presence of all three French Officers was confirmed by the French Minister of Defense Jean-Yves Le Drian. It was also confirmed by the Government of Malta that this kind of flight was performed by the French Customs since five months, an official operation of surveillance to identify human traffic and narcotics routes in the Mediterranean Sea.",Survey / Patrol / Reconnaissance,Airport (less than 10 km from airport),"Investigations show that a technical malfunction was the cause of the accident. This malfunction probably originated in the specific modifications of the aircraft and in the application of an inappropriate maintenance to these modifications.
Three scenarios can be envisaged:
- rupture of the HF antenna, which then wrapped around the elevator control surface;
- inadvertent activation of the SAS, countered by the pilot;
- jamming of the elevator due to a technical failure in the flight control line.
Given the condition of the wreckage and the absence of witness reports from the crew, only a flight data recorder could have enabled the BEA-É to confirm one of these hypotheses.
However, in consideration of the factors detailed in the analysis, the hypothesis of damage to a component of the elevator control line remains the most plausible explanation."
"Oct 15, 2016",Socata TBM-900,"Fairoaks, Surrey",0,M-VNTR,http://www.baaa-acro.com/crash/crash-socata-tbm-900-fairoaks,Landing (descent or approach),"The crew was performing a positioning flight to Fairoaks from Douglas (Isle of Man) to pick up a passenger. After landing, the single engine aircraft failed to stop properly, overran, went through a soft ground, lost its undercarriage and came to rest 100 yards past the runway end. Both crew members were slightly injured while the aircraft was seriously damaged. Brand new, it was delivered last September. ",Positioning,Airport (less than 10 km from airport),
