Date,A/C Type,Location,Fatalities,Registration,detail.url,Flight Phase,Circumstances
"Mar 4, 2017",Cessna 421B Golden Eagle II,"Cherokee County, Georgia",1,N421KL,http://www.baaa-acro.com/crash/crash-cessna-421b-golden-eagle-ii-cherokee-county-1-killed,Landing (descent or approach),"On March 4, 2017, about 0023 eastern standard time, a Cessna 421B, N421KL, was substantially damaged during an attempted go-around and subsequent collision with terrain at Cherokee County Airport (CNI), Canton, Georgia. The commercial pilot was fatally injured. The airplane was registered to and was being operated by the pilot under the provisions of Title 14 Code of Federal Regulations Part 91. Night visual meteorological conditions prevailed, and no flight plan was filed for the personal cross-country flight. The flight originated about 1930 on March 3, 2017, from Richard Lloyd Jones Jr Airport (RVS), Tulsa, Oklahoma, and was destined for CNI. According to personnel at an aviation brokerage company in Oklahoma, the pilot purchased the airplane on March 2, 2017. A flight instructor reported that he and the pilot flew the airplane on March 1, 2017, for 1.5 hours to go over the various systems of the Cessna 421B. On March 2, 2017, the flight instructor flew with the pilot again for 45 minutes conducting pattern work. The flight instructor said that the pilot told him that he had previously owned two Cessna 421Cs, was a little ""rusty,"" and had not flown that type of airplane since 1984. The instructor reported that, overall, the pilot was knowledgeable of the operation of airplane. He also reported that the pilot departed with enough fuel for the cross-country flight. A review of the pilot's logbook revealed that the flight instructor signed off a flight review on March 3, 2017. Radar and audio data obtained from the Federal Aviation Administration (FAA) revealed that the pilot was in contact with air traffic control and receiving visual flight rules (VFR) flight following services while inbound to CNI. The pilot cancelled flight following when he had the airport in sight. Radar data continued to show the airplane on approach to CNI until 2,500 ft when the airplane descended below radar coverage. A review of airport video surveillance footage revealed that the runway lights were illuminated during the airplane's approach to runway 05. The airplane's landing lights became visible as the airplane neared the runway. On short final, the airplane pitched up and rolled to the right. The airplane then descended in a nose-down attitude into a ravine on the right side of the runway. The video footage stopped for a second, and then a fire was seen in the ravine. Witnesses observed the airplane flying extremely low before noticing a ""ball of fire"" erupt near the airport."
"Feb 21, 2017",Beechcraft 200 Super King Air,"Melbourne-Essendon, Victoria",5,VH-ZCR,http://www.baaa-acro.com/crash/crash-beechcraft-super-king-air-b200-melbourne-5-killed,Takeoff (climb),"Shortly after takeoff from Melbourne-Essendon Airport runway 17, while in initial climb, the pilot encountered technical problems and declared an emergency. The twin engine aircraft then banked left and crashed in flames onto a shopping mall located near the airport. The aircraft was destroyed upon impact and all five occupants have been killed. Apparently, an engine failed during initial climb, forcing the crew to return. "
"Feb 15, 2017",Piper PA-46 Malibu Meridian (Malibu Mirage),"Chichén Itzá, Yucatán",0,N116TH,http://www.baaa-acro.com/crash/crash-piper-pa-46-310p-malibu-chichen-itza,Landing (descent or approach),"While overflying the Yucatán province, en route from Monterrey to Cancún, the pilot informed ATC that he was low of fuel and requested the permission to divert to Chichén Itzá Airport for an emergency landing. While approaching the airfield by night, the single engine aircraft hit trees and crashed in a wooded area. The airplane was destroyed and all five occupants were injured. "
"Feb 9, 2017",Casa 212 Aviocar,"Thebephatshwa AFB, Kweneng District",3,-,http://www.baaa-acro.com/crash/crash-casa-212-aviocar-300-thebephatshwa-afb-3-killed,Takeoff (climb),"Crashed shortly after takeoff from Thebephatshwa AFB enroute to Gaborone, killing all three crew members. BDF operates two Casa 212 Aviocar registered OC1 and OC2."
"Jan 28, 2017",Boeing 737-400,"Leticia, Amazonas",0,HK-5197,http://www.baaa-acro.com/crash/crash-boeing-737-476-leticia,Landing (descent or approach),"After touchdown on runway 21 at Leticia-Alfredo Vásquez Cobo Airport, the aircraft encountered difficulties to stop within the remaining distance (the runway 21 is 2,000 meters long). When the airplane overran, the main landing gear sank and the aircraft came to rest on its belly. All four crew members were evacuated safely and it seems the aircraft is damaged beyond economical repair."
"Jan 26, 2017",Grumman G-73 Mallard,"Perth, Western Australia",2,VH-CQA,http://www.baaa-acro.com/crash/crash-grumman-g-73-mallard-perth-2-killed,Flight,"The aircraft left Serpentine Airfield at 1628LT with a pilot and his wife on board. They were performing a demo flight vertical to Perth and the Swan River to take part to the Australian Day celebrations. While cruising at an altitude of about 150 feet, the pilot attempted a turn to the left when the aircraft lost height and crashed in a near vertical attitude into the Swan River. The aircraft was destroyed upon impact and both occupants were killed. "
"Jan 23, 2017",Beechcraft 300 Super King Air,"Tucson, Arizona",2,N385KA,http://www.baaa-acro.com/crash/crash-beechcraft-super-king-air-300-tucson-2-killed,Takeoff (climb),"The pilot and the passenger departed on a cross-country, personal flight in the airplane that the operator had purchased the day before the accident. Shortly after takeoff from runway 11L, after reaching an altitude of about 100 to 150 ft above the runway in a nose-high pitch attitude, the airplane rolled left to an inverted position as its nose dropped, and it descended to terrain impact on airport property, consistent with an aerodynamic stall. Post-accident examination of the accident site revealed propeller strike marks separated at distances consistent with both propellers rotating at the speed required for takeoff and in a normal blade angle range of operation at impact. Both engines exhibited rotational scoring signatures that indicated the engines were producing symmetrical power and were most likely operating in the mid-to upper-power range at impact. The engines did not display any pre-impact anomalies or distress that would have precluded normal engine operation before impact. No evidence was found of any preexisting mechanical anomalies that would have precluded normal operation of the airplane. Toxicology testing revealed the pilot's use of multiple psychoactive substances including marijuana, venlafaxine, amphetamine, pseudoephedrine, clonazepam, and pheniramine. The wide variety of psychoactive effects of these medications precludes predicting the specific effects of their use in combination. However, it is likely that the pilot was impaired by the effects of the combination of psychoactive substances he was using and that those effects contributed to his loss of control. The investigation was unable to obtain medical records regarding any underlying neuropsychiatric disease(s); therefore, whether these may have contributed to the accident circumstances could not be determined."
"Jan 19, 2017",Beechcraft 90 King Air,"Paraty, Rio de Janeiro",5,PR-SOM,http://www.baaa-acro.com/crash/crash-beechcraft-c90gt-king-air-paraty-5-killed,Landing (descent or approach),"The twin engine aircraft left Campo de Marte Airbase at 1301LT bound for Paraty. With a distance of about 200 km, the flight should take half an hour. The approach to Paraty Airport was completed in poor weather conditions with rain falls when the airplane went out of control and crashed into the sea near Ilha Rasa (Island of Rasa), about 4 km short of runway 28. Quickly on site, rescuers found a passenger alive but it was impossible to evacuate the people from the cabin that was submerged. Eventually, it was confirmed that all five occupants were killed in the accident, among them Carlos Alberto, founder of Hotel Emiliano in Rio de Janeiro and São Paulo and the Supreme Court Justice Teori Zavascki who had a central role overseeing a massive corruption investigation about the Brazilian oil Group Petrobras."
"Jan 16, 2017",Cessna 525 CJ4,"Howell, Michigan",0,N525PZ,http://www.baaa-acro.com/crash/crash-cessna-525c-citationjet-cj4-howell,Landing (descent or approach),"The pilot, sole on board, left Batavia-Genesee County Airport (New York) at 1057LT bound to the west. After an uneventful flight of one hour, he started the approach to runway 13 at Howell-Livingston County-Spencer J. Hardy Airport, Michigan. After touchdown, the airplane encountered difficulties to stop within the remaining distance and overran. It went through the perimeter fence, crossed a road and hit trees. Upon impact, both wings were sheared off, the aircraft overturned, caught fire and came to rest upside down 1,280 feet past the runway end. The aircraft was destroyed and the pilot was unhurt but transferred to hospital for control. At the time of the accident, the visibility was about three status miles with snow and the pilot reported to rescuers that the runway surface was icy. "
"Jan 16, 2017",Boeing 747-400,"Bishkek-Manas, Bishkek City",38,TC-MCL,http://www.baaa-acro.com/crash/crash-boeing-747-412f-bishkek-38-killed,Landing (descent or approach),"The aircraft was performing a cargo flight from Hong Kong to Istanbul with a refueling stop scheduled in Bishkek on behalf of Turkish Airlines, carrying a load of various goods for a total weight of 85,618 kilos. The approach to Bishkek-Manas Airport was completed in poor weather conditions with a vertical visibility estimated at 100 meters, a horizontal visibility about 150 meters and a runway visual range of 550 meters for runway 26. Apparently, the aircraft overshoot the runway and eventually crashed onto several houses located 1,000 meters past the runway 26 end (1,000 meters from runway 08 threshold). The aircraft was destroyed by impact forces and a post crash fire and all four crew members were killed. About 45 houses were damaged or destroyed and at least 28 people (among them six children) on the ground were killed. Its is reported that ten others were injured."
"Jan 2, 2017",Let 410UVP,"Shabunda, Sud-Kivu",0,9Q-CZR,http://www.baaa-acro.com/crash/crash-let-410uvp-shabunda-0,Landing (descent or approach),"The crew, one Russian and one Congolese, was performing a cargo flight from Bukavu to Shabunda, carrying various goods for a total weight of 1,300 kilos. After touchdown, apparently after a course of 300 meters, it is believed that the tire on the right main gear burst. The aircraft veered off runway and eventually collided with banana trees. Both pilots were uninjured while the aircraft is possibly damaged beyond repair. "
"Dec 29, 2016",Cessna 525 CJ4,"Cleveland-Burke Lakefront, Ohio",6,N614SB,http://www.baaa-acro.com/crash/crash-cessna-525c-citationjet-cj4-cleveland-6-killed,Takeoff (climb),"Shortly after takeoff from runway 24R, the pilot made a turn to the right to the north and continued to climb to 3,100 feet when the aircraft nosed down and descended at a rate of 3,750 feet per minute. It then crashed into the Lake Erie about two miles north of the airport. SAR operations were conducted all night but the visibility was poor. Two days after the accident, no trace of the airplane nor the six occupants was found. Owned by the Superior Beverage Group, the aircraft was piloted by its CEO John T. Fleming who was flying to Columbus with his wife, both sons, his neighbor and neighbor's daughter. "
"Dec 27, 2016",Epic LT,"Spruce Creek, Florida",2,N669WR,http://www.baaa-acro.com/crash/crash-epic-lt-spruce-creek-2-killed,Landing (descent or approach),"The private pilot obtained a full weather briefing before departing on a long cross-country flight. The destination airport was forecast to be under visual meteorological conditions, but there was an AIRMET and Center Weather Advisory (CWA) issued for low instrument flight rules (IFR) conditions later that day. The briefer told the pilot to check the weather again en route to see if the AIRMET and CWA had been updated. At the time the pilot stopped for fuel, another CWA was issued for low IFR conditions at his destination airport; however, there were no records to indicate that the pilot obtained this information during the fuel stop or after departing on the last leg of the flight. A review of air traffic control communications revealed that, about 10 minutes before arriving at the airport, the pilot reported that he had obtained the current weather conditions at his destination airport. The most recent observation, about 1 hour before the accident indicated good visibility; however, the weather reporting equipment did not provide ceiling heights. It is unknown if the pilot obtained weather information from nearby airports, which were reporting low instrument meteorological conditions (visibility between 1/4 and 1/2 mile and ceilings 200-300 ft above ground level [agl]). Additionally, three pilot reports (PIREPs) describing the poor weather conditions were filed within the hour before the accident. The controller did not relay the PIREPs or the CWA information to the pilot, so the pilot was likely unaware of the deteriorating conditions. Based on radar information and statements from witnesses, the pilot's approach to the airport was unstabilized. He descended below the minimum descent altitude of 440 ft, and, after breaking through the fog about 100 ft agl, the airplane reentered the fog and completed a 360° right turn near the approach end of the runway, during which its altitude varied from 100 ft to 300 ft. The airplane then climbed to an altitude about 800 ft before radar contact was lost near the accident site. The airplane came to rest inverted, consistent with one witness's statement that it descended through the clouds in a spin before impact; post accident examination revealed no preimpact anomalies with the airplane or engine that would have precluded normal operation. Although the pilot was instrument rated, his recent instrument experience could not be established. The circumstances of the accident, including the restricted visibility conditions and the pilot's maneuvering of the airplane before the impact, are consistent with a spatial disorientation event. It is likely that the pilot experienced a loss of control due to spatial disorientation, which resulted in an aerodynamic stall and spin."
"Dec 25, 2016",Tupolev TU-154,"Sochi-Adler, Krasnodar Krai",92,RA-85572,http://www.baaa-acro.com/crash/crash-tupolev-tu-154b-2-sochi-92-killed,Takeoff (climb),"The three engine aircraft left Sochi-Adler Airport by night on a special flight to the airbase of Hmeimim located southeast of Latakia, Syria. Two minutes after takeoff from runway 20, while in initial climb, the airplane went out of control, nosed down and crashed into the Black Sea, about 6 km offshore and sank by a depth of 50 to 70 meters. SAR operations were quickly conducted and few debris and bodies were found after sunrise. It was confirmed by the Russian government there were no survivors and that among the occupants were 64 members of the 'Alexandrov Band' from the Red Army Choir, nine journalists, Elizaveta Glinka of the Russian Council of Human Rights and two high ranking civil officers. They were on their way to Syria to take part to the New Year celebrations with the Russian military contingent based in Syria. A day after the accident, some debris were found at a depth of 27 meters. 3,500 people are taking part to the salvage operations. "
"Dec 21, 2016",Beechcraft 200 Super King Air,"Butterworth AFB (Penang), Penang",1,M41-03,http://www.baaa-acro.com/crash/crash-beechcraft-super-king-air-b200t-butterworth-afb-1-killed,Landing (descent or approach),"The crew was completing a training flight from Kuala Lumpur when on final approach to Butterworth Airbase, the twin engine aircraft went out of control and crashed in flames near the perimeter fence. The aircraft was partially destroyed by impact forces and a crew member was killed. Three other occupants were injured. Weather conditions were considered as good at the time of the accident. "
"Dec 20, 2016",Boeing 727-200,"Puerto Carreño, Vichada",5,HK-4544,http://www.baaa-acro.com/crash/crash-boeing-727-2j0f-puerto-carreno-5-killed,Takeoff (climb),"The three engine aircraft took off from runway 24 at Puerto Carreño-Germán Olano Airport but failed to get airborne in time, overran, hit two successive perimeter fences and completed the rotation too late. About three minutes later, while performing a turn to the right, maybe in an attempt to return to the airport for an emergency landing, the aircraft went out of control and crashed in flames in a field located about 5 km from the airport. At that time, and according to the video, the crew was apparently completing a fuel dumping procedure. Five crew members were killed while an engineer was seriously injured. The aircraft was destroyed. Runway 24 is 1,800 meters long. The takeoff was kept on a video that shows a too late rotation. It is also possible to see on the video that the engine number two suffered an apparent flame out at liftoff. "
"Dec 19, 2016",Ilyushin II-18,"Tiksi, Republic of Yakutia (Sakha)",0,RF-91821,http://www.baaa-acro.com/crash/crash-ilyushin-ii-18v-near-tiksi,Landing (descent or approach),"While approaching Tiksi, the crew encountered an unexpected situation and decided to attempt an emergency landing. The four engine aircraft belly landed in a snow covered field located about 30 km from Tiksi Airport, slid for several yards and came to rest, broken in three. All 39 occupants were evacuated, among them 19 were injured, three seriously. "
"Dec 18, 2016",Lockheed C-130 Hercules,"Wamena, Special Region of Papua",13,A-1334,http://www.baaa-acro.com/crash/crash-lockheed-c-130h-hercules-wamena-13-killed,Landing (descent or approach),"The four engine aircraft left Timika-Moses Kilangin Airport at 0535LT bound for Wamena. While approaching Wamena, the crew encountered marginal weather conditions and the aircraft descended through several cloud layers when it crashed in a hilly terrain about four minutes before ETA at 0613LT. The aircraft was destroyed by impact forces and a post crash fire and all 13 occupants were killed. "
"Dec 13, 2016",Cessna (DMI) Falcon 402,"Lanseria, Gauteng",0,ZU-TVB,http://www.baaa-acro.com/crash/crash-cessna-dmi-falcon-402-lanseria,Landing (descent or approach),"Shortly after takeoff from Lanseria bound for Bazaruto Island, Mozambique, the pilot informed ground that the engine failed and elected to return for an immediate landing. On final, the aircraft hit a perimeter fence and crashed in flames near the runway threshold. All three occupants were injured and the aircraft was destroyed by a post crash fire. Built in 1975, this Cessna 402B was equipped with a new turbo engine and redesigned as a single engine Cessna (DMI) Falcon 402 (the C402 is usually a twin engine aircraft)."
"Dec 12, 2016",PAC 750XL - Pacific Aerospace Corporation,"Tiniroto, Gisborne District Council",2,ZK-XLA,http://www.baaa-acro.com/crash/crash-pacific-aerospace-falcon-3000xl-near-tiniroto-2-killed,Flight,"While flying at low height northwest of Tiniroto, the single engine airplane hit power cables and crashed in a wooded area. Both occupants were killed. Power between Wairoa and Gisborne was cut. The aircraft was a PAC750XL model built in 2003, modified in 2011 and renamed Pacific Aerospace Falcon 3000XL."
"Dec 12, 2016",Quest Kodiak 100,"Moab, Utah",1,N772RT,http://www.baaa-acro.com/crash/crash-quest-kodiak-100-near-moab-1-killed,Takeoff (climb),"The commercial pilot was departing on a routine positioning flight in dark night visual meteorological conditions. Footage from a security camera at the airport showed the airplane
take off normally and initiate a right turn, which was the established direction of traffic for the takeoff runway. The airplane continued the right turn, then entered an increasingly rapid descent and subsequently impacted terrain about 1 mile southwest from the airport. The wreckage distribution was consistent with a high-energy impact. Examination of the airframe and engine revealed no evidence of any preimpact mechanical malfunctions or anomalies that would have precluded normal operation. Autopsy and toxicology testing of the pilot did not reveal any evidence of impairment or incapacitation. Visual conditions prevailed in the area at the time of the accident; however, the setting Moon was obscured by cloud cover, and the airport was located in an area of remote, sparsely-populated high desert terrain. This would have resulted in few visual references to which the pilot could have oriented the airplane. Although the pilot had experience operating in this environment in night conditions and held an instrument rating, the circumstances of the accident are consistent with the known effects of spatial disorientation. The investigation could not determine the initiating event which led to the pilot's mismatch between the airplane's perceived and actual attitude; however, he likely experienced a sensory illusion as a result of spatial disorientation, which led to a loss of control. "
"Dec 7, 2016",ATR42-500,"Havelian, Khyber Pakhtunkhwa (خیبرپختونخوا)",47,AP-BHO,http://www.baaa-acro.com/crash/crash-atr42-500-near-havelian-47-killed,Flight,"The aircraft left Chitral at 1530LT bound for Islamabad-Benazir Bhutto Airport, carrying 42 passengers and a crew of five. At 1614LT, while cruising south of Abbottabad, the left engine failed and the pilots were forced to shut it down and to feather the propeller. Shortly later, the crew declared an emergency when the aircraft went out of control and crashed near Havelian. The aircraft disintegrated while impacting a mountain slope and all 47 occupants were killed. "
"Dec 5, 2016",Swearingen SA227 Metro III,"Pebble City, Georgia",1,N765FA,http://www.baaa-acro.com/crash/crash-swearingen-sa227ac-metro-iii-near-pebble-city-1-killed,Flight,"The airline transport pilot delayed his scheduled departure for the night cargo flight due to thunderstorms along the route. Before departing, the pilot explained to the flight follower assigned to the flight that if he could not get though the thunderstorms along the planned route, he would divert to the alternate airport. While en route, the pilot was advised by the air traffic controller in contact with the flight of a ""ragged line of moderate, heavy, and extreme"" precipitation along his planned route. The controller also stated that he did not see any breaks in the weather. The controller cleared the pilot to descend at his discretion from 7,000 ft mean sea level (msl) to 3,000 ft msl, and subsequently, the controller suggested a diversion to the northeast for about 70 nautical miles that would avoid the most severe weather. The pilot responded that he had enough fuel for such a diversion but concluded that he would ""see what the radar is painting"" after descending to 3,000 ft msl. About 1 minute 30 seconds later, as the airplane was descending through 7,000 ft msl, the controller stated, ""I just lost you on radar, I don't show a transponder, it might have to do with the weather."" About 40 seconds later, the pilot advised the controller that he intended to deviate to the right of course, and the controller told the pilot that he could turn left and right as needed. Shortly thereafter, the pilot stated that he was going to turn around and proceed to his alternate airport. The controller cleared the pilot direct to his alternate and instructed him to maintain 3,000 ft msl. The pilot acknowledged the instruction, and the controller then stated, ""do you want to climb back up? I can offer you any altitude."" The pilot responded that he would try to climb back to 3,000 ft msl. The controller then recommended a heading of 180° to ""get you clear of the weather quicker,"" and the pilot responded, ""alright 180."" There were no further communications from the pilot. Shortly thereafter, radar data showed the airplane enter a right turn that continued through about 540°. During the turn its airspeed varied between 198 and 130 knots, while its estimated bank angles were between 40 and 50°. Examination of the wreckage indicated that airplane experienced an in-flight breakup at relatively low altitude, consistent with radar data that showed the airplane's last recorded altitudes to be around 3,500 ft msl. The symmetrical nature of the breakup, damage to the outboard wings, and damage to the upper fuselage were all signatures indicative that the left and right wings failed in positive overload almost simultaneously. All of the fracture surfaces examined had a dull, grainy appearance consistent with overstress separation. There was no evidence of pre-existing cracking noted at any of the separation points, nor was there evidence of any mechanical anomalies that would have prevented normal operation. Review of base reflectivity weather radar data showed that, while the pilot was maneuvering to divert to the alternate airport, the airplane was operating in an area of light precipitation that rapidly intensified to heavy precipitation, as shown by radar scans completed shortly after the accident. During this time, the flight was likely operating in clouds along the leading edge of the convective line, where the pilot most likely would have encountered updrafts and severe or greater turbulence. The low visibility conditions that existed during the flight, which was conducted at night and in instrument meteorological conditions, coupled with the turbulence the flight likely encountered, were conducive to the development of spatial disorientation. Additionally, the airplane's maneuvering during the final moments of the flight was consistent with a loss of control due to spatial disorientation. The pilot's continued flight into known convective weather conditions and his delayed decision to divert the flight directly contributed to the accident. Although the operator had a system safety-based program, the responsibility for the safe outcome of the flight was left solely to the pilot. Written company policy required completion of a flight risk assessment tool (FRAT) before each flight by the assigned flight follower; however, a FRAT was not completed for the accident flight. The flight followers responsible for completing the FRATs were not trained to complete them for night cargo flights, and the operator's management was not aware that the FRATs were not being completed for night cargo flights. Further, if a FRAT had been completed for the accident flight, the resultant score would have allowed the flight to commence into known hazardous weather conditions without any further review. If greater oversight had been provided by the operator, it is possible that the flight may have been cancelled or re-routed due to the severity of the convective weather conditions present along the planned route of flight."
"Dec 4, 2016",Beechcraft 90 King Air,"Sotillo de las Palomas, Castile-La Mancha",4,N79CT,http://www.baaa-acro.com/crash/crash-beechcraft-king-air-e90-sotillo-de-las-palomas-4-killed,Flight,"The twin engine aircraft left Madrid-Cuatro Vientos Airport at 1602LT bound for Cascais, Portugal. Less than 15 minutes later, while climbing, its speed dropped from 182 to 134 knots. At an altitude of 18,400 feet, the aircraft went into a dive and crashed three minutes later in a wooded area located in Sotillo de las Palomas, province of Toledo. All four occupants, two adults and two children, were killed. The airplane, built in 1978, disintegrated on impact. "
"Dec 3, 2016",PZL-Mielec AN-28,"Tanjung Pinang, Riau Islands",13,P-4201,http://www.baaa-acro.com/crash/crash-pzl-mielec-m28-skytruck-tanjungpinang-13-killed,Flight,"The twin engine aircraft left Pangkal Pinang Airport at 0924LT bound for Hang Nadim Airport on the Batam Island. En route, the aircraft disappeared from radar screens and crashed into the sea about 74 km southeast of Tanjunpinang, in the Riau Islands. An hour later, around 1130LT, few debris and body parts were found by fishermen on the waters off Pulau Senayang. All 13 occupants have been killed. "
"Nov 29, 2016",Piper PA-31-350 Navajo Chieftain,"El Sacrificio, Campeche",0,N633D,http://www.baaa-acro.com/crash/crash-piper-pa-31-350-navajo-chieftain-el-sacrificio,Landing (descent or approach),"The airplane was involved in a smuggling flight within Mexico and was carrying three people. In unclear circumstances, the pilot completed a belly landed in a swampy area located in El Sacrificio, Campeche. The airplane was found by authorities damaged beyond repair while no trace of the occupant was found. The registration N633D is attributed to a Piper PA-31 with MSN 31-7852098 which was not involved in this accident. Thus, it was confirmed by Mexican and US Authorities that the registration was false. "
"Nov 28, 2016",Avro RJ85,"La Ceja, Antioquia",71,CP-2933,http://www.baaa-acro.com/crash/crash-avro-rj85-la-ceja-71-killed,Landing (descent or approach),"The aircraft was performing a charter flight from Santa Cruz-Viru Viru to Medellín-José María Córdova (Rionegro) Airport, carrying members of the Chapecoense Real soccer team from Brazil who were traveling to Medellín to play against Atletico Nacional for a Copa Sudamericana game. The descent to Medellín was started by night and in good weather conditions when it seems that the encountered electrical problem. At 2156LT, while descending to FL155, the four engine aircraft  hit tree tops and crashed in a wooded area located on the slope of a mountain located in the Cerro Gordo, near the city of La Ceja, about 17 km south from runway 01 threshold. The aircraft was totally destroyed upon impact but there was no fire. Six (two crew member and four passengers) were injured and evacuated while 71 other occupants were killed. According to first investigations, the crew encountered electrical problems and the aircraft may have suffered a fuel exhaustion. Due to the combination of several factors and findings that were detected during initial investigations, it was determined that the primary cause of the accident may have been a fuel exhaustion. The board of investigation was then in a process to determine the exact circumstances of the occurrence and to understand the course of events and the exact behavior and flight supervision (instruments, fuel jauges, flight preparation, operations, permission, ground assistance) on part of the flight crew and the operator. On December 2, the Civil Aviation Authority of Bolivia revoked with immediate effect the Air Operator Certificate of LAMIA. All flights have been suspended since. "
"Nov 27, 2016",Casa 212 Aviocar,"Pitu (Morotai Island), North Maluku",0,U-623,http://www.baaa-acro.com/crash/crash-casa-nc-212-mp-aviocar-200-pitu,Landing (descent or approach),"Upon landing at Pitu-Leo Wattimena Airport, the twin engine aircraft went out of control and veered off runway to the right. The left main landing gear was sheared off and the right wing broke at the root. All 14 occupants escaped uninjured while the aircraft was damaged beyond repair. "
"Nov 24, 2016",Piper PA-31-310 Navajo,"Zielona Góra-Przylep, Lubusz Voivodeship (Lubuskie)",1,D-IFBU,http://www.baaa-acro.com/crash/crash-piper-pa-31-310-navajo-c-zielona-gora-1-killed,Takeoff (climb),"Just after liftoff, while in initial climb, the aircraft nosed down and hit the grassy runway surface. Upon impact, the nose was destroyed and both engines were sheared off. The aircraft came to rest on its belly and was partially destroyed. The pilot, who was performing a positioning flight to Germany to pick up passengers, was killed. "
"Nov 23, 2016",Beechcraft 200 Super King Air,"Moorhead, Minnesota",0,N80RT,http://www.baaa-acro.com/crash/crash-beechcraft-200-super-king-air-moorhead,Landing (descent or approach),"The commercial pilot was conducting an on-demand passenger flight at night in instrument meteorological conditions that were at/near straight-in approach minimums for the runway. The pilot flew the approach as a non precision LNAV approach, and he reported that the approach was stabilized and that he did not notice anything unusual. A few seconds after leveling the airplane at the missed approach altitude, he saw the runway end lights, the strobe lights, and the precision approach path indicator. He then disconnected the autopilot and took his hand off the throttles to turn on the landing lights. However, before he could turn on the landing lights, the runway became obscured by clouds. The pilot immediately decided to conduct a missed approach and applied engine power, but the airplane subsequently impacted terrain short of the runway in a nose-up level attitude. The pilot reported that there were no mechanical anomalies with the airplane that would have precluded normal operation. It is likely the pilot lost sight of the runway due to the visibility being at/near the straight-in approach minimums and that the airplane got too low for a missed approach, which resulted in controlled flight into terrain. A passenger stated that he and the pilot were not wearing available shoulder harnesses. The passenger said that he was not informed that the airplane was equipped with shoulder harnesses or told how to adjust the seats. The pilot sustained injuries to his face in the accident."
"Nov 18, 2016",Piper PA-31 Cheyenne,"Elko, Nevada",4,N779MF,http://www.baaa-acro.com/crash/crash-piper-pa-31t-cheyenne-elko-4-killed,Takeoff (climb),"The airline transport pilot departed in the twin-engine, turbine-powered airplane on an air ambulance flight with two medical crew members and a patient on board in night visual meteorological conditions. According to a witness, during the initial climb, the airplane made a left turn of about 30° from the runway heading, then stopped climbing, made an abrupt left bank, and began to descend. The airplane impacted a parking lot and erupted into flames. In the 2 months before the accident, pilots had notified maintenance personnel three times that the left engine was not producing the same power as the right engine. In response, mechanics had replaced the left engine's bleed valve three times with the final replacement taking place three days before the accident. In addition, about 1 month before the accident, the left engine's fuel control unit was replaced during trouble shooting of an oil leak. Post accident examination revealed that the right engine and propeller displayed more pronounced rotational signatures than the left engine and propeller. This is consistent with the left engine not producing power or being at a low power setting at impact. Further, the abrupt left bank and descent observed by the witness are consistent with a loss of left engine power during initial climb. The extensive fire and impact damage to the airplane precluded determination of the reason for the loss of left engine power."
"Oct 31, 2016",De Havilland DHC-4 Caribou,"Ilaga, Special Region of West Papua",4,PK-SWW,http://www.baaa-acro.com/crash/crash-de-havilland-dhc-4t-caribou-near-ilaga-4-killed,Flight,"The twin turbo Caribou left Timika at 0757LT on a cargo flight to Ilaga, carrying four crew members and a load of construction materials. While approaching the Ilaga Pass and flying at an altitude of about 3,650 meters, the aircraft hit the slope of a mountain and disintegrated on impact. The wreckage was found a day later about 12 km south of the intended destination. All four occupants have been killed. "
